,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,9.920519590377808,0.21480219043532292,0.2505815029144287,0.027172139794879074,sqrt,5,110,"{'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 110}",0.7620874904067536,0.7689946277820414,0.7682271680736761,0.7444359171143515,0.7555726364335127,0.7598648856133886,0.009108188196650883,2,0.8558541266794626,0.8558541266794626,0.8502879078694817,0.8573896353166987,0.8559094397544129,0.8550590472599037,0.0024569445144260508
1,10.904349994659423,0.1978575212508508,0.25171656608581544,0.021322657266213744,sqrt,5,120,"{'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 120}",0.762854950115119,0.7643898695318496,0.7720644666155027,0.7421335379892555,0.754803996925442,0.7592507293106096,0.01016359095551446,5,0.8562380038387716,0.8550863723608445,0.8504798464491363,0.8566218809980806,0.8555257099002302,0.8547903627094126,0.0022207670618967397
2,11.405670928955079,0.30888826549993126,0.23528070449829103,0.020136747266553116,sqrt,5,130,"{'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 130}",0.7620874904067536,0.7651573292402148,0.7720644666155027,0.7421335379892555,0.7586471944657955,0.7600184246890834,0.009976931814435878,1,0.8564299424184261,0.854510556621881,0.8510556621880998,0.8566218809980806,0.8553338449731389,0.8547903774399253,0.0020181344486603398
3,8.634120750427247,0.32934261025722456,0.21031527519226073,0.010303138539883428,sqrt,6,110,"{'max_features': 'sqrt', 'min_samples_leaf': 6, 'n_estimators': 110}",0.7551803530314658,0.7651573292402148,0.7620874904067536,0.7482732156561781,0.7609531129900077,0.758329494856441,0.005978551127870384,6,0.8414587332053742,0.8381957773512476,0.8343570057581574,0.8383877159309021,0.8355717574827322,0.8375941979456828,0.0024696509888087414
4,9.257518005371093,0.2705673263391483,0.21370325088500977,0.016811941778970975,sqrt,6,120,"{'max_features': 'sqrt', 'min_samples_leaf': 6, 'n_estimators': 120}",0.762854950115119,0.7636224098234843,0.760552570990023,0.7513430544896393,0.7586471944657955,0.7594042683863043,0.004395534708244884,3,0.8403071017274473,0.8370441458733205,0.8351247600767754,0.8389635316698656,0.8348042977743668,0.8372487674243552,0.0021364706498609174
5,9.69627342224121,0.1586803326655127,0.21558160781860353,0.007896766478631741,sqrt,6,130,"{'max_features': 'sqrt', 'min_samples_leaf': 6, 'n_estimators': 130}",0.7613200306983884,0.7613200306983884,0.762854950115119,0.7513430544896393,0.760184473481937,0.7594042683863043,0.004119818006749227,3,0.8397312859884837,0.8374280230326295,0.8339731285988484,0.835700575815739,0.8336531082118189,0.836097224329504,0.0022636362624192043
6,7.549824285507202,0.13366146462996067,0.195231294631958,0.007294643075803581,sqrt,7,110,"{'max_features': 'sqrt', 'min_samples_leaf': 7, 'n_estimators': 110}",0.7551803530314658,0.7544128933231006,0.7459708365310821,0.7413660782808903,0.754803996925442,0.7503454629203132,0.005649493078671687,9,0.8232245681381958,0.8255278310940499,0.8166986564299424,0.8257197696737044,0.8209900230237912,0.8224321696719367,0.00334581200285353
7,8.308573484420776,0.2661608677563484,0.20325970649719238,0.01967197474435474,sqrt,7,120,"{'max_features': 'sqrt', 'min_samples_leaf': 7, 'n_estimators': 120}",0.758250191864927,0.7536454336147352,0.760552570990023,0.7398311588641596,0.760184473481937,0.7544910179640718,0.007732499609932038,7,0.8255278310940499,0.8243761996161229,0.8191938579654511,0.8278310940499041,0.8200306983883346,0.8233919362227725,0.003291161630095781
8,8.876034593582153,0.3078071658995796,0.21111559867858887,0.008143464960989015,sqrt,7,130,"{'max_features': 'sqrt', 'min_samples_leaf': 7, 'n_estimators': 130}",0.7536454336147352,0.7536454336147352,0.7528779739063699,0.7452033768227168,0.760184473481937,0.753109166282819,0.004757057719924628,8,0.8253358925143954,0.8253358925143954,0.8168905950095969,0.827063339731286,0.8206062931696086,0.8230464025878564,0.003754128745136206
9,2.7054232597351073,0.20212918253009646,0.18173556327819823,0.01061935484520669,log2,5,110,"{'max_features': 'log2', 'min_samples_leaf': 5, 'n_estimators': 110}",0.7429009976976209,0.7244819646968534,0.7475057559478128,0.7229470452801228,0.7363566487317448,0.734838016275142,0.009762943192552625,12,0.7952015355086373,0.7873320537428024,0.7978886756238004,0.8088291746641075,0.7893323100537222,0.795716749918614,0.007589237013197289
10,2.659133195877075,0.041746437385403394,0.1751553535461426,0.0021734036724639647,log2,5,120,"{'max_features': 'log2', 'min_samples_leaf': 5, 'n_estimators': 120}",0.7467382962394474,0.726016884113584,0.7498081350729087,0.7191097467382962,0.7378939277478862,0.7359127898050054,0.01178707387575345,11,0.7978886756238004,0.7886756238003839,0.8028790786948177,0.8099808061420346,0.7895241749808135,0.7977896718483699,0.008073660005858163
11,2.7095635414123533,0.05614867352778492,0.17534141540527343,0.00204467447279734,log2,5,130,"{'max_features': 'log2', 'min_samples_leaf': 5, 'n_estimators': 130}",0.7482732156561781,0.7275518035303147,0.750575594781274,0.7191097467382962,0.7355880092236741,0.7362198679563949,0.01199901076789045,10,0.791362763915547,0.790595009596929,0.8017274472168906,0.8055662188099808,0.7916346891788181,0.7961772257436331,0.006227888365207543
12,2.1446611881256104,0.05368766526613676,0.15633916854858398,0.0014333949115850945,log2,6,110,"{'max_features': 'log2', 'min_samples_leaf': 6, 'n_estimators': 110}",0.6201074443591711,0.6523407521105142,0.6646201074443592,0.639293937068304,0.6464258262874711,0.6445570397666206,0.014781192004953111,13,0.6585412667946258,0.6859884836852207,0.6877159309021114,0.6836852207293665,0.6795855717574827,0.6791032947737613,0.010635854066244732
13,2.214283657073975,0.03342419591694723,0.15879902839660645,0.000963102686327991,log2,6,120,"{'max_features': 'log2', 'min_samples_leaf': 6, 'n_estimators': 120}",0.6185725249424405,0.6531082118188795,0.6623177283192633,0.6400613967766692,0.6487317448116833,0.6445570397666206,0.014843921560601523,13,0.6604606525911708,0.6879078694817659,0.6938579654510557,0.6896353166986564,0.6822716807367614,0.682826696991882,0.011784841833302832
14,2.6770537853240968,0.20801028485163794,0.18078737258911132,0.011404841950810126,log2,6,130,"{'max_features': 'log2', 'min_samples_leaf': 6, 'n_estimators': 130}",0.6208749040675364,0.6554105909439755,0.6600153491941673,0.6408288564850345,0.6410453497309762,0.643635805312452,0.013710297619080982,15,0.6616122840690979,0.6854126679462572,0.6888675623800384,0.690978886756238,0.6793937068303914,0.6812530215964046,0.010574421631695937
15,2.236720561981201,0.11369656500766444,0.16563005447387696,0.008457932236131355,log2,7,110,"{'max_features': 'log2', 'min_samples_leaf': 7, 'n_estimators': 110}",0.5602455871066769,0.5825019186492709,0.5709900230237912,0.5748273215656178,0.5672559569561876,0.5711653615845232,0.00743699637842238,18,0.5831094049904031,0.5967370441458734,0.5756238003838772,0.5898272552783109,0.5897927858787414,0.5870180581354412,0.0071436135229338464
16,2.375363826751709,0.18658349158177567,0.17234253883361816,0.009426231492852483,log2,7,120,"{'max_features': 'log2', 'min_samples_leaf': 7, 'n_estimators': 120}",0.5610130468150422,0.5794320798158097,0.5717574827321565,0.580199539524175,0.568793235972329,0.5722401351143866,0.007117545749464505,17,0.5840690978886757,0.5938579654510556,0.5777351247600768,0.5932821497120921,0.5942056792018419,0.5886300034027484,0.0066266500258504385
17,2.3677990436553955,0.09131542183178809,0.17829723358154298,0.008871361866209931,log2,7,130,"{'max_features': 'log2', 'min_samples_leaf': 7, 'n_estimators': 130}",0.5602455871066769,0.5794320798158097,0.5717574827321565,0.5794320798158097,0.5718677940046119,0.5725472132657762,0.007032684726959513,16,0.5840690978886757,0.5952015355086372,0.5786948176583493,0.5921305182341651,0.5957405986185725,0.58916731358168,0.006694258231784749
